smiles,reward,C,uncertainty
Cc1c(-c2ccc(C=C3C(=O)c4c(Cl)cc(Br)cc4C3=C(C#N)C#N)[nH]2)oc2c1oc1c2oc2c3oc4c5oc(-c6ccc(C=C7C(=O)c8c(Cl)cc(Br)cc8C7=C(C#N)C#N)[nH]6)c(C)c5oc4c3c3nn(C)nc3c12,-2.2226578598730407,1.0,4.5633685321178064e-05
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5c(ccc(Br)c5Cl)C4=C(C#N)C#N)[nH]3)c3nsnc23)ncc2c1ncc1c3c4nn(C)nc4c4c5cnc6c(C)c(-c7ccc(-c8ccc(C=C9C(=O)c%10c(ccc(Br)c%10Cl)C9=C(C#N)C#N)[nH]8)c8nsnc78)ncc6c5n(C)c4c3n(C)c21,-2.5843588121563768,1.0,0.0014173414752542968
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cscc5C4=C(C#N)C#N)cc3)[nH]2)ncc2c3oc4c5oc6c7cnc(-c8ccc(-c9ccc(C=C%10C(=O)c%11cscc%11C%10=C(C#N)C#N)cc9)[nH]8)c(C)c7n(C)c6c5c5nonc5c4c3n(C)c12,-2.6117425842745647,1.0,6.259128550567539e-05
Cc1c(C=C2C(=O)c3cc4sc(Br)cc4cc3C2=C(C#N)C#N)sc2c1sc1c2ncc2c3cnc4c5sc(C=C6C(=O)c7cc8sc(Br)cc8cc7C6=C(C#N)C#N)c(C)c5sc4c3c3ccccc3c21,-2.719453815045654,1.0,0.00013825830979552478
Cc1c(C=CC=Cc2ccc(C=C3C(=O)c4cc(C(F)(F)F)ccc4C3=C(C#N)C#N)cc2)n(C)c2c1ccc1c3c4nonc4c4c5ccc6c(C)c(C=CC=Cc7ccc(C=C8C(=O)c9cc(C(F)(F)F)ccc9C8=C(C#N)C#N)cc7)n(C)c6c5n(C)c4c3n(C)c12,-2.4221029400484317,1.0,0.00037264188903307627
Cc1c(-c2ccc(C=CC=CC=C3C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)s2)oc2c1oc1c3c4nonc4c4c5oc6c(C)c(-c7ccc(C=CC=CC=C8C(=O)c9cc(F)c(F)cc9C8=C(C#N)C#N)s7)oc6c5n(C)c4c3n(C)c21,-1.9313846940123582,1.0,0.0003386432835728037
Cc1c(-c2ccc(C=C3C(=O)c4c(Cl)cc(Br)cc4C3=C(C#N)C#N)s2)ccc2c1oc1c2oc2c3oc4c5ccc(-c6ccc(C=C7C(=O)c8c(Cl)cc(Br)cc8C7=C(C#N)C#N)s6)c(C)c5oc4c3c3nccnc3c12,-2.610612727037268,1.0,0.0008762062269163096
Cc1c(C=C2C(=O)c3cc(C(F)(F)F)ccc3C2=C(C#N)C#N)ncc2c1oc1c2oc2c3oc4c5cnc(C=C6C(=O)c7cc(C(F)(F)F)ccc7C6=C(C#N)C#N)c(C)c5oc4c3c3nonc3c12,-2.822167448786966,1.0,0.00235747316034729
Cc1c(-c2ccc(C=CC=CC=C3C(=O)c4cc(Cl)c(Br)cc4C3=C(C#N)C#N)s2)n(C)c2c3ncc4c5cnc6c7c(c(C)c(-c8ccc(C=CC=CC=C9C(=O)c%10cc(Cl)c(Br)cc%10C9=C(C#N)C#N)s8)n7C)n(C)c6c5c5ccccc5c4c3n(C)c12,-2.111286170002266,1.0,0.00011874711194170828
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc6sccc6cc5C4=C(C#N)C#N)[nH]3)s2)ccc2c1ccc1c2sc2c3sc4c5ccc(-c6ccc(-c7ccc(C=C8C(=O)c9cc%10sccc%10cc9C8=C(C#N)C#N)[nH]7)s6)c(C)c5ccc4c3c3nn(C)nc3c12,-2.7221673839696217,1.0,4.849583799337864e-05
